gender,age,degree,educational_program,year_of_study,preferred_field_of_study,self_study_hours,average_sleep_hours,motivation_level,has_job,financial_support_from_family,stress_frequency,communication_skills,teacher_competence_satisfaction,use_of_university_resources,importance_of_interest_in_subject,exam_preparation_hours,most_influencing_factor,academic_risk
female,22-23,master,7m06105 computer science and engineering,2 year,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,hard to say,rarely,slightly important,2-8 hours,quality of teaching,0
female,22-23,master,7m06105 computer science and engineering,2 year,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,hard to say,rarely,slightly important,2-8 hours,quality of teaching,0
female,22-23,master,7m06105 computer science and engineering,2 year,humanities,less than 1 hour,less than 6 hours,low,"yes, full-time",partial support,rarely,low,rather dissatisfied,never,not important,less than 1 hour,interest in the subject,0
female,22-23,master,7m06105 computer science and engineering,2 year,humanities,more than 4 hours,more than 10 hours,high,no,full support,rarely,high,rather satisfied,sometimes,moderately important,2-8 hours,family support,0
male,22-23,master,7m06105 computer science and engineering,2 year,technical sciences,1-3 hours,7-9 hours,high,no,partial support,often,high,hard to say,rarely,important,2-8 hours,family support,0
female,22-23,master,7m06105 computer science and engineering,2 year,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",full support,sometimes,average,rather satisfied,sometimes,important,less than 1 hour,financial situation,0
male,22-23,master,7m06105 computer science and engineering,2 year,computer sciences,1-3 hours,7-9 hours,high,no,full support,often,high,rather satisfied,never,important,less than 1 hour,family support,0
male,20-21,master,7m06105 computer science and engineering,1 year,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",no financial support,sometimes,high,fully satisfied,often,important,2-8 hours,personal motivation,0
male,20-21,master,7m06105 computer science and engineering,1 year,technical sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,high,fully satisfied,sometimes,important,2-8 hours,personal motivation,0
male,20-21,master,7m06105 computer science and engineering,1 year,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,often,important,2-8 hours,personal motivation,0
male,20-21,master,7m06105 computer science and engineering,1 year,humanities,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,often,moderately important,9-15 hours,interest in the subject,0
male,22-23,master,7m06105 computer science and engineering,2 year,computer sciences,1-3 hours,7-9 hours,very high,no,full support,often,high,fully satisfied,sometimes,important,9-15 hours,personal motivation,0
female,20-21,master,7m06105 computer science and engineering,1 year,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,sometimes,important,2-8 hours,quality of teaching,0
female,22-23,master,7m06105 computer science and engineering,2 year,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,rarely,important,2-8 hours,quality of teaching,0
male,22-23,master,7m06103 applied data analytics,2 year,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,high,rather satisfied,rarely,important,2-8 hours,personal motivation,0
male,22-23,master,7m06103 applied data analytics,2 year,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather dissatisfied,often,slightly important,2-8 hours,interest in the subject,0
female,22-23,master,7m06103 applied data analytics,2 year,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,rarely,average,rather satisfied,sometimes,moderately important,2-8 hours,personal motivation,0
female,22-23,master,7m06103 applied data analytics,2 year,humanities,less than 1 hour,7-9 hours,average,"yes, full-time",partial support,never,low,rather dissatisfied,never,slightly important,do not prepare,quality of teaching,1
female,22-23,master,7m06103 applied data analytics,2 year,humanities,do not study,less than 6 hours,very low,"yes, full-time",no financial support,never,very low,not satisfied at all,never,not important,do not prepare,quality of teaching,1
female,22-23,master,7m06103 applied data analytics,2 year,technical sciences,less than 1 hour,7-9 hours,average,"yes, full-time",partial support,rarely,average,hard to say,rarely,moderately important,less than 1 hour,personal motivation,0
male,22-23,master,7m06103 applied data analytics,2 year,computer sciences,more than 4 hours,7-9 hours,very high,"yes, full-time",partial support,sometimes,very high,fully satisfied,often,very important,9-15 hours,personal motivation,0
female,22-23,master,7m06103 applied data analytics,2 year,computer sciences,1-3 hours,7-9 hours,very high,"yes, full-time",partial support,sometimes,high,rather satisfied,never,important,2-8 hours,quality of teaching,0
male,22-23,master,7m06103 applied data analytics,2 year,technical sciences,less than 1 hour,less than 6 hours,low,"yes, full-time",no financial support,rarely,average,rather dissatisfied,never,important,less than 1 hour,interest in the subject,0
female,22-23,master,7m06103 applied data analytics,2 year,humanities,less than 1 hour,7-9 hours,low,no,full support,rarely,low,rather dissatisfied,never,slightly important,less than 1 hour,quality of teaching,0
female,22-23,master,7m06103 applied data analytics,2 year,computer sciences,1-3 hours,7-9 hours,high,no,full support,sometimes,high,rather satisfied,never,important,2-8 hours,interest in the subject,0
female,22-23,master,7m06103 applied data analytics,2 year,technical sciences,less than 1 hour,7-9 hours,average,"yes, part-time",partial support,rarely,high,hard to say,rarely,important,less than 1 hour,quality of teaching,0
female,22-23,master,7m06103 applied data analytics,2 year,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,sometimes,average,hard to say,never,moderately important,2-8 hours,quality of teaching,0
male,22-23,master,7m06103 applied data analytics,2 year,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,rarely,important,2-8 hours,interest in the subject,0
male,20-21,master,7m06103 applied data analytics,2 year,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,rarely,average,hard to say,often,important,2-8 hours,quality of teaching,0
female,22-23,master,7m06103 applied data analytics,2 year,humanities,1-3 hours,7-9 hours,high,"yes, full-time",partial support,rarely,average,rather satisfied,sometimes,slightly important,2-8 hours,financial situation,0
female,20-21,master,7m06103 applied data analytics,2 year,humanities,less than 1 hour,7-9 hours,high,no,full support,rarely,high,rather satisfied,rarely,important,2-8 hours,interest in the subject,0
male,20-21,master,7m06103 applied data analytics,2 year,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,often,high,rather satisfied,sometimes,slightly important,2-8 hours,interest in the subject,0
female,20-21,master,7m06103 applied data analytics,2 year,computer sciences,1-3 hours,7-9 hours,high,"yes, full-time",no financial support,often,high,rather satisfied,rarely,important,less than 1 hour,personal motivation,0
male,22-23,master,7m06103 applied data analytics,2 year,computer sciences,1-3 hours,7-9 hours,average,"yes, full-time",partial support,often,high,rather dissatisfied,rarely,not important,do not prepare,family support,0
female,20-21,master,7m06103 applied data analytics,2 year,computer sciences,do not study,less than 6 hours,low,no,full support,often,low,rather dissatisfied,never,not important,do not prepare,financial situation,0
female,20-21,master,7m06103 applied data analytics,2 year,humanities,do not study,less than 6 hours,low,"yes, full-time",partial support,rarely,average,not satisfied at all,never,not important,do not prepare,interest in the subject,1
female,22-23,master,7m06103 applied data analytics,2 year,humanities,do not study,7-9 hours,low,"yes, full-time",no financial support,sometimes,average,rather dissatisfied,never,important,do not prepare,quality of teaching,0
female,20-21,master,7m06108 applied artificial intelligence,2 year,technical sciences,less than 1 hour,7-9 hours,average,"yes, full-time",no financial support,rarely,low,hard to say,rarely,moderately important,less than 1 hour,quality of teaching,0
female,20-21,master,7m06103 applied data analytics,2 year,computer sciences,less than 1 hour,7-9 hours,high,"yes, full-time",partial support,sometimes,low,rather dissatisfied,never,slightly important,do not prepare,financial situation,0
male,22-23,master,7m06104 computational science,2 year,technical sciences,1-3 hours,7-9 hours,very high,"yes, full-time",partial support,sometimes,high,rather satisfied,often,important,9-15 hours,personal motivation,0
male,22-23,master,7m06104 computational science,2 year,computer sciences,more than 4 hours,7-9 hours,high,no,full support,often,high,fully satisfied,often,important,more than 16 hours,quality of teaching,0
male,22-23,master,7m06104 computational science,2 year,technical sciences,more than 4 hours,7-9 hours,high,no,partial support,often,high,rather satisfied,sometimes,moderately important,9-15 hours,interest in the subject,0
male,22-23,master,7m06104 computational science,2 year,technical sciences,1-3 hours,7-9 hours,average,"yes, full-time",no financial support,sometimes,high,rather satisfied,sometimes,important,9-15 hours,interest in the subject,0
male,20-21,master,7m06104 computational science,2 year,technical sciences,1-3 hours,7-9 hours,high,"yes, full-time",partial support,sometimes,high,rather satisfied,often,important,more than 16 hours,quality of teaching,0
male,20-21,master,7m06105 computer science and engineering,1 year,computer sciences,1-3 hours,less than 6 hours,high,"yes, full-time",partial support,sometimes,average,rather satisfied,never,important,2-8 hours,quality of teaching,0
female,above 24,bachelor,6b07101 industrial internet of things,1 year,technical sciences,1-3 hours,7-9 hours,low,no,no financial support,often,average,hard to say,sometimes,very important,2-8 hours,amount of self-study,0
